sample_id,collection_date,farmer_id,batch_number,lab_technician,weather_condition,truck_number,collection_shift,pH,pH_duplicate,turbidity_ntu,turbidity_log,temperature_c,ammonia_content,color_score,vfa,drc,grade
LAT_06958,5/31/2025,F005,BATCH_6155,TECH_05,Sunny,WP_7641,Morning,5.803,5.8036,114.15,4.7375,29.78,0.168,5,0.075,56.88,B
LAT_06959,10/27/2025,F020,BATCH_6541,TECH_07,Cloudy,WP_8925,Morning,6.385,6.3861,66.61,4.1989,28.11,0.219,3,0.045,59.15,A
LAT_06960,7/15/2024,F017,BATCH_7447,TECH_05,Windy,WP_5364,Morning,5.7,5.701,114.79,4.7431,31.91,0.159,4,0.077,59.01,B
LAT_06961,5/5/2024,F030,BATCH_4292,TECH_07,Windy,WP_2605,Morning,6.771,6.7717,41.27,3.7201,30.05,0.238,3,0.027,61.11,A
LAT_06962,12/11/2023,F006,BATCH_9628,TECH_03,Rainy,WP_6769,Morning,5.875,5.8752,104.34,4.6477,31.91,0.171,4,0.069,59.97,B
LAT_06963,8/23/2023,F027,BATCH_2134,TECH_01,Windy,WP_6087,Morning,5.621,5.6223,119.77,4.7856,28.48,0.15,5,0.085,56.74,C
LAT_06964,9/7/2023,F021,BATCH_8109,TECH_05,Rainy,WP_2762,Morning,6.885,6.8882,46.56,3.8407,29.69,0.267,2,0.024,60.23,A
LAT_06965,1/3/2023,F007,BATCH_4827,TECH_06,Windy,WP_4015,Morning,5.467,5.4652,135.37,4.908,32.69,0.147,5,0.089,55.62,C
LAT_06966,6/4/2022,F008,BATCH_5461,TECH_07,Rainy,WP_6972,Morning,6.807,6.8077,38.52,3.6512,32.16,0.265,2,0.022,60.53,A
LAT_06967,8/20/2024,F027,BATCH_2209,TECH_01,Windy,WP_9261,Morning,6.724,6.7237,37.47,3.6235,29.35,0.244,3,0.024,59.72,A
LAT_06968,9/19/2022,F002,BATCH_3078,TECH_07,Cloudy,WP_9061,Morning,6.64,6.6398,63.55,4.1518,31.35,0.214,3,0.038,58.32,A
LAT_06969,1/19/2022,F020,BATCH_4080,TECH_07,Rainy,WP_9943,Morning,6.348,6.3496,65.86,4.1875,28.51,0.213,3,0.046,58.54,A
LAT_06970,12/19/2023,F020,BATCH_8857,TECH_01,Sunny,WP_3680,Morning,5.392,5.3921,142.32,4.9581,29.43,0.136,5,0.095,57.81,C
LAT_06971,10/17/2024,F018,BATCH_1149,TECH_05,Sunny,WP_5855,Morning,6.661,6.6577,56.79,4.0394,29.54,0.235,3,0.034,58.98,A
LAT_06972,2/11/2024,F024,BATCH_6501,TECH_02,Windy,WP_1199,Morning,5.948,5.9485,103.52,4.6398,30.28,0.196,4,0.067,56.01,B
LAT_06973,3/15/2023,F028,BATCH_8130,TECH_02,Rainy,WP_1640,Afternoon,6.719,6.7206,48.82,3.8881,31.85,0.241,2,0.028,58.32,A
LAT_06974,9/20/2023,F009,BATCH_9436,TECH_07,Windy,WP_9472,Morning,6.055,6.0557,96.17,4.5661,28.42,0.175,3,0.065,56.25,B
LAT_06975,2/28/2022,F024,BATCH_7433,TECH_05,Rainy,WP_5695,Morning,6.743,6.7407,51.06,3.933,28.29,0.236,2,0.029,58.86,A
LAT_06976,1/20/2026,F009,BATCH_6648,TECH_05,Sunny,WP_3671,Morning,6.099,6.0999,93.46,4.5375,29.09,0.176,4,0.063,56.09,B
LAT_06977,3/15/2023,F013,BATCH_5927,TECH_06,Sunny,WP_2872,Morning,6.077,6.0753,92.13,4.5232,31.11,0.197,4,0.062,58.58,B
LAT_06978,1/6/2022,F007,BATCH_3516,TECH_01,Cloudy,WP_1776,Morning,5.636,5.6355,134.34,4.9004,30.84,0.137,5,0.087,57.66,C
LAT_06979,6/6/2024,F029,BATCH_9700,TECH_03,Rainy,WP_9477,Morning,6.63,6.6284,53.31,3.9761,31.07,0.221,3,0.035,60.84,A
LAT_06980,7/2/2025,F023,BATCH_6176,TECH_01,Windy,WP_6586,Morning,6.61,6.609,60.55,4.1035,30.38,0.217,2,0.038,60.45,A
LAT_06981,10/25/2025,F009,BATCH_9477,TECH_02,Rainy,WP_3073,Morning,6.473,6.4737,64.81,4.1715,30.92,0.229,3,0.042,59.36,A
LAT_06982,7/30/2022,F007,BATCH_7572,TECH_01,Windy,WP_1709,Morning,6.373,6.3718,79.09,4.3706,31.06,0.193,3,0.045,58.86,A
LAT_06983,6/30/2022,F027,BATCH_7355,TECH_01,Sunny,WP_6803,Morning,6.078,6.0779,97,4.5747,29.12,0.185,4,0.061,56.34,B
LAT_06984,8/20/2024,F010,BATCH_4913,TECH_05,Sunny,WP_1035,Morning,5.436,5.4335,137.23,4.9217,31.72,0.125,5,0.091,58.78,C
LAT_06985,3/1/2024,F018,BATCH_2509,TECH_02,Sunny,WP_2303,Morning,6.482,6.4798,63.35,4.1487,30.49,0.222,2,0.042,60.33,A
LAT_06986,11/18/2024,F003,BATCH_2927,TECH_03,Sunny,WP_5907,Morning,5.685,5.6835,127.98,4.8519,31.21,0.166,5,0.082,59.47,C
LAT_06987,4/20/2025,F014,BATCH_5142,TECH_07,Cloudy,WP_7323,Morning,5.687,5.6838,111.51,4.7141,31.67,0.166,5,0.08,59.22,C
LAT_06988,3/23/2026,F021,BATCH_5197,TECH_05,Sunny,WP_2932,Morning,6.07,6.0702,90.99,4.5107,32.11,0.186,4,0.06,60.18,B
LAT_06989,10/22/2022,F024,BATCH_3449,TECH_03,Windy,WP_8223,Morning,6.093,6.0923,93.54,4.5384,31.98,0.188,3,0.058,59.09,B
LAT_06990,2/14/2024,F007,BATCH_3856,TECH_05,Cloudy,WP_8878,Afternoon,5.387,5.3883,136.92,4.9194,30.59,0.15,5,0.096,57.66,C
LAT_06991,4/16/2024,F025,BATCH_4088,TECH_01,Sunny,WP_9185,Morning,6.754,6.7564,48.65,3.8847,27.51,0.248,2,0.03,59.47,A
LAT_06992,4/30/2023,F024,BATCH_6966,TECH_06,Cloudy,WP_7784,Morning,5.47,5.471,124.14,4.8214,31.43,0.171,5,0.084,56.14,C
LAT_06993,4/4/2022,F012,BATCH_7357,TECH_07,Sunny,WP_3071,Morning,5.864,5.8658,,,28.17,0.166,4,0.07,59.91,B
LAT_06994,11/29/2025,F004,BATCH_3237,TECH_07,Sunny,WP_4538,Morning,6.524,6.525,60.53,4.1031,27.83,0.226,3,0.036,60.22,A
LAT_06995,12/31/2025,F006,BATCH_1098,TECH_02,Sunny,WP_8932,Morning,5.635,5.6333,128.37,4.8549,29.34,0.158,5,0.084,57.26,C
LAT_06996,11/13/2025,F006,BATCH_5183,TECH_02,Windy,WP_7338,Morning,5.534,5.535,130.32,4.87,29.7,0.149,5,0.088,56.79,C
LAT_06997,9/7/2025,F010,BATCH_4248,TECH_03,Sunny,WP_1157,Morning,5.993,5.9959,94.45,4.5481,30.83,0.194,4,0.063,57.14,B
LAT_06998,7/9/2023,F021,BATCH_2350,TECH_02,Sunny,WP_6826,Morning,5.961,5.9631,107.28,4.6754,29.7,0.17,4,0.071,56.98,B
LAT_06999,2/14/2026,F003,BATCH_4506,TECH_01,Windy,WP_5064,Morning,5.772,5.7711,112.76,4.7253,30.93,0.157,5,0.074,56.08,B
LAT_07000,6/21/2025,F027,BATCH_5870,TECH_03,Cloudy,WP_5834,Morning,6.284,6.2822,81.5,4.4006,30.15,0.189,3,0.053,58.59,B
LAT_07001,8/18/2024,F006,BATCH_5349,TECH_01,Cloudy,WP_5630,Morning,5.458,5.4553,138.48,4.9307,28.09,0.153,5,0.092,57.32,C
LAT_07002,5/9/2025,F029,BATCH_3500,TECH_07,Sunny,WP_7988,Morning,5.943,5.9441,103.78,4.6423,28.53,0.171,4,0.068,58,B
LAT_07003,11/18/2024,F006,BATCH_1097,TECH_02,Sunny,WP_5720,Morning,6.159,6.1613,96.8,4.5726,31.72,0.185,4,0.065,59.47,B
LAT_07004,12/31/2024,F024,BATCH_4890,TECH_05,Sunny,WP_9127,Morning,5.54,5.5413,131.8,4.8813,27.85,0.145,5,0.09,57.43,C
LAT_07005,8/11/2024,F027,BATCH_8851,TECH_02,Windy,WP_1552,Morning,5.545,5.5462,134.28,4.8999,32.56,0.14,5,0.091,56.05,C
LAT_07006,11/21/2025,F016,BATCH_5818,TECH_03,Windy,WP_1504,Afternoon,6.197,6.1984,91.96,4.5214,27.89,0.187,3,0.058,58.48,B
LAT_07007,6/25/2024,F021,BATCH_8071,TECH_07,Cloudy,WP_3998,Morning,5.603,5.6007,127.57,4.8487,31.46,0.158,5,0.088,55.35,C
LAT_07008,4/22/2023,F022,BATCH_8473,TECH_02,Cloudy,WP_5144,Morning,5.715,5.714,115.11,4.7459,31.79,0.171,4,0.074,58.91,B
LAT_07009,9/22/2025,F026,BATCH_6780,TECH_07,Sunny,WP_4373,Morning,6.535,6.5371,59.61,4.0878,29.2,0.229,2,0.04,61.09,A
LAT_07010,9/1/2024,F010,BATCH_8011,TECH_07,Windy,WP_2457,Morning,6.665,6.6646,60.62,4.1046,28.7,0.242,3,0.036,58.45,A
LAT_07011,9/7/2024,F023,BATCH_5723,TECH_05,Cloudy,WP_9229,Morning,1.2,1.2013,98.02,4.5852,28.78,0.189,4,0.063,56.47,B
LAT_07012,11/14/2023,F016,BATCH_8448,TECH_07,Windy,WP_3414,Morning,6.258,6.2589,85.59,4.4496,28.69,0.205,3,0.056,56.15,B
LAT_07013,10/10/2022,F015,BATCH_8496,TECH_07,Cloudy,WP_6299,Morning,6.669,6.6723,57.64,4.0542,32.22,0.215,3,0.033,60.85,A
LAT_07014,1/11/2026,F030,BATCH_2837,TECH_03,Windy,WP_7258,Morning,6.152,6.1538,76.85,4.3419,31.16,0.196,4,0.053,57.89,B
LAT_07015,10/7/2025,F026,BATCH_4225,TECH_01,Windy,WP_5627,Morning,6.663,6.6646,43.63,3.7757,32.02,0.219,2,0.028,58.9,A
LAT_07016,8/25/2022,F012,BATCH_3388,TECH_06,Cloudy,WP_4369,Morning,5.737,5.7385,118.65,4.7762,31.55,0.174,5,0.078,59.29,B
LAT_07017,4/24/2025,F024,BATCH_2061,TECH_05,Sunny,WP_8600,Morning,5.904,5.9039,103.62,4.6407,29.38,0.167,4,0.068,60.24,B
LAT_07018,1/1/2023,F022,BATCH_2291,TECH_02,Sunny,WP_9958,Morning,6.851,6.8533,43.74,3.7783,28.27,0.241,2,0.025,58.79,A
LAT_07019,1/24/2025,F020,BATCH_9905,TECH_02,Rainy,WP_5605,Morning,6.009,6.0119,104.48,4.649,30.03,0.174,4,0.069,57.06,B
LAT_07020,11/24/2023,F001,BATCH_9242,TECH_07,Cloudy,WP_8311,Morning,6.002,6.0031,93.72,4.5403,32.47,0.165,4,0.065,56.73,B
LAT_07021,11/3/2024,F013,BATCH_3826,TECH_03,Rainy,WP_1130,Morning,6.512,6.5128,70.68,4.2582,31.5,0.217,3,0.043,59.72,A
LAT_07022,1/25/2025,F026,BATCH_8341,TECH_05,Rainy,WP_8554,Morning,6.289,6.2871,84.1,4.432,30.19,0.201,4,0.057,56.77,B
LAT_07023,1/13/2022,F009,BATCH_1114,TECH_07,Sunny,WP_4593,Morning,5.346,5.3445,138.36,4.9299,30.32,0.135,5,0.093,58.33,C
LAT_07024,6/21/2023,F027,BATCH_1826,TECH_04,Sunny,WP_3233,Morning,5.468,5.4665,132.6,4.8873,30.15,0.147,5,0.09,58.46,C
LAT_07025,6/11/2024,F021,BATCH_7701,TECH_01,Windy,WP_1248,Morning,5.861,5.8635,100.58,4.611,31.9,0.189,4,0.069,60.27,B
LAT_07026,3/9/2026,F009,BATCH_4010,TECH_05,Sunny,WP_9013,Morning,6.728,6.7269,43.87,3.7812,27.66,0.24,2,0.025,60.93,A
LAT_07027,2/14/2025,F015,BATCH_2168,TECH_04,Cloudy,WP_8263,Morning,6.085,6.0847,-5,,27.76,0.183,4,0.064,59.89,B
LAT_07028,2/16/2023,F011,BATCH_3105,TECH_03,Rainy,WP_5733,Afternoon,5.848,5.8465,114.6,4.7414,28.51,0.158,5,0.074,59.53,B
LAT_07029,5/28/2022,F030,BATCH_5361,TECH_06,Rainy,WP_1104,Morning,5.45,5.4474,146.22,4.9851,30.45,0.129,5,0.095,56.22,C
LAT_07030,3/12/2026,F024,BATCH_2338,TECH_06,Rainy,WP_3542,Morning,6.026,6.0258,91.06,4.5115,32.41,0.193,3,0.06,59.98,B
LAT_07031,8/12/2023,F015,BATCH_5207,TECH_05,Cloudy,WP_6858,Morning,5.493,5.4941,130.37,4.8704,31.32,0.15,5,0.091,55.45,C
LAT_07032,1/17/2026,F008,BATCH_5641,TECH_04,Cloudy,WP_2050,Morning,5.497,5.4956,136.18,4.914,29.66,0.152,5,0.091,55.71,C
LAT_07033,4/28/2024,F013,BATCH_7591,TECH_01,Sunny,WP_4618,Morning,6.542,6.5447,58.84,4.0748,29.4,0.226,3,0.037,59.52,A
LAT_07034,10/6/2024,F008,BATCH_3706,TECH_03,Rainy,WP_3726,Morning,5.717,5.7136,120.05,4.7879,29.31,0.15,5,0.081,55.88,C
LAT_07035,4/18/2026,F006,BATCH_8535,TECH_07,Cloudy,WP_7570,Afternoon,6.427,6.4254,63.4,4.1495,29.62,0.218,3,0.041,59.53,A
LAT_07036,8/29/2025,F016,BATCH_8528,TECH_01,Cloudy,WP_6284,Morning,5.404,5.4063,132.9,4.8896,28.75,0.131,5,0.094,55.88,C
LAT_07037,11/28/2023,F029,BATCH_6433,TECH_02,Rainy,WP_4383,Morning,5.586,5.5854,130.32,4.87,31.16,0.153,5,0.086,57.29,C
LAT_07038,2/17/2022,F025,BATCH_4300,TECH_03,Windy,WP_6497,Morning,5.999,5.9993,85.15,4.4444,30.47,0.197,4,0.058,56.45,B
LAT_07039,12/5/2023,F024,BATCH_9808,TECH_07,Sunny,WP_8376,Morning,6.077,6.075,93.79,4.5411,28.64,0.181,3,0.063,56.84,B
LAT_07040,12/8/2022,F030,BATCH_4752,TECH_01,Windy,WP_5330,Afternoon,6.269,6.267,81.23,4.3973,30.28,0.217,3,0.052,60.44,B
LAT_07041,8/6/2023,F001,BATCH_5434,TECH_03,Sunny,WP_5708,Morning,6.661,6.6608,44.81,3.8024,28.18,0.225,2,0.031,59.8,A
LAT_07042,7/12/2023,F028,BATCH_5672,TECH_04,Windy,WP_8490,Morning,6.075,6.0775,98.84,4.5935,30.35,0.178,4,0.065,56.7,B
LAT_07043,6/12/2023,F011,BATCH_8056,TECH_05,Cloudy,WP_2193,Morning,5.848,5.8486,97.87,4.5836,28.9,0.166,4,0.071,59.12,B
LAT_07044,1/29/2024,F029,BATCH_7537,TECH_02,Cloudy,WP_3231,Morning,5.533,5.5337,126.98,4.844,28.95,0.132,5,0.085,58.49,C
LAT_07045,11/28/2025,F019,BATCH_2574,TECH_03,Cloudy,WP_1984,Afternoon,6.024,6.0249,109.03,4.6916,28.19,0.185,5,0.068,59.47,B
LAT_07046,8/15/2024,F001,BATCH_7266,TECH_04,Windy,WP_2692,Morning,6.141,6.1418,92.65,4.5288,32.02,0.199,4,0.059,59.08,B
LAT_07047,5/30/2023,F005,BATCH_8516,TECH_07,Rainy,WP_4533,Morning,6.885,6.885,42.2,3.7424,31.05,0.251,2,0.025,59.47,A
LAT_07048,9/20/2022,F030,BATCH_4000,TECH_07,Rainy,WP_2508,Morning,5.32,5.3209,140.99,4.9487,29.34,0.147,5,0.096,55.89,C
LAT_07049,9/4/2025,F016,BATCH_5343,TECH_05,Rainy,WP_2640,Morning,6.276,6.2753,82.03,4.4071,27.53,0.198,4,0.052,59.54,B
LAT_07050,4/28/2023,F020,BATCH_2448,TECH_05,Rainy,WP_3958,Morning,5.781,5.7815,125.47,4.8321,29.24,0.164,4,0.083,59.36,C
LAT_07051,5/16/2025,F025,BATCH_2409,TECH_03,Windy,WP_8359,Morning,5.466,5.4677,133.78,4.8962,29.49,0.137,5,0.093,58.17,C
LAT_07052,6/4/2024,F026,BATCH_6850,TECH_01,Sunny,WP_4788,Morning,5.403,5.4026,141.12,4.9496,30.55,0.132,5,0.094,55.7,C
LAT_07053,5/22/2024,F004,BATCH_3145,TECH_07,Cloudy,WP_6648,Morning,5.446,5.4457,134.64,4.9026,31.55,0.149,5,0.092,57.82,C
LAT_07054,3/10/2026,F001,BATCH_4549,TECH_04,Rainy,WP_3816,Morning,6.85,6.8527,50.83,3.9285,28,0.24,2,0.028,61.45,A
LAT_07055,7/19/2023,F030,BATCH_7789,TECH_03,Sunny,WP_4804,Morning,5.94,5.9418,104.34,4.6477,27.77,0.184,4,0.066,57.54,B
LAT_07056,1/7/2024,F023,BATCH_5216,TECH_06,Rainy,WP_5266,Morning,6.311,6.3108,82.99,4.4187,32.03,0.208,3,0.05,58.28,B
LAT_07057,10/20/2024,F005,BATCH_7809,TECH_02,Rainy,WP_4206,Morning,6.497,6.4948,70.29,4.2526,29.47,0.215,3,0.043,60.78,A
LAT_07058,6/10/2023,F026,BATCH_3413,TECH_03,Rainy,WP_5369,Morning,6.089,6.09,95.88,4.5631,29.7,0.18,4,0.062,57.23,B
LAT_07059,6/3/2025,F028,BATCH_7223,TECH_02,Sunny,WP_3378,Morning,6.221,6.2215,83.39,4.4235,32.4,0.201,4,0.054,57.14,B
LAT_07060,9/16/2023,F024,BATCH_8379,TECH_02,Windy,WP_4406,Morning,6.137,6.1397,87.08,4.4668,29.25,0.208,3,0.055,56.24,B
LAT_07061,3/8/2023,F021,BATCH_6600,TECH_05,Windy,WP_5045,Morning,6.26,6.2586,80.04,4.3825,31.35,0.195,4,0.053,58.76,B
LAT_07062,1/29/2024,F009,BATCH_2915,TECH_06,Sunny,WP_4693,Morning,6.252,6.2526,86.92,4.465,31.43,0.181,4,0.055,56.75,B
LAT_07063,7/19/2023,F025,BATCH_5548,TECH_06,Windy,WP_4476,Morning,5.538,5.5408,133.69,4.8955,32.52,0.15,5,0.09,57.18,C
LAT_07064,13.03.2023,F029,BATCH_6634,TECH_03,Cloudy,WP_6469,Morning,6.462,6.4612,66.16,4.1921,28.82,0.225,2,0.038,61.43,A
LAT_07065,5/24/2024,F006,BATCH_5591,TECH_01,Cloudy,WP_7075,Afternoon,6.704,6.7054,47.44,3.8595,30.81,0.247,2,0.032,58.52,A
LAT_07066,9/26/2025,F002,BATCH_1641,TECH_03,Windy,WP_6455,Morning,5.798,5.7942,108.32,4.6851,30.86,0.18,4,0.072,59.76,B
LAT_07067,7/11/2022,F002,BATCH_8961,TECH_04,Sunny,WP_5445,Morning,5.498,5.4977,136.3,4.9149,31.47,0.137,5,0.091,55.75,C
LAT_07068,5/1/2022,F027,BATCH_5640,TECH_03,Cloudy,WP_1693,Morning,5.87,5.8699,102.28,4.6277,32.47,0.18,4,0.071,57.33,B
LAT_07069,9/21/2022,F014,BATCH_6499,TECH_05,Windy,WP_8842,Morning,6.658,6.6618,56.75,4.0387,30.94,0.247,3,0.033,58.35,A
LAT_07070,7/6/2025,F011,BATCH_7289,TECH_05,Sunny,WP_4146,Morning,6.026,6.0284,103.11,4.6358,32.01,0.151,4,0.069,58.74,B
LAT_07071,10/8/2023,F015,BATCH_5639,TECH_05,Windy,WP_1449,Afternoon,5.502,5.5001,127.87,4.851,29.31,0.133,5,0.087,58.89,C
LAT_07072,7/10/2024,F002,BATCH_7094,TECH_02,Rainy,WP_5330,Morning,6.233,6.2317,82.23,4.4095,32.3,0.214,4,0.054,59.52,B
LAT_07073,12/20/2022,F022,BATCH_6251,TECH_03,Cloudy,WP_9806,Morning,6.095,6.092,95.63,4.5605,29.73,0.186,4,0.062,59.94,B
LAT_07074,9/25/2024,F022,BATCH_5813,TECH_01,Rainy,WP_8071,Afternoon,5.355,5.3534,142.92,4.9623,30.54,0.142,5,0.096,57.87,C
LAT_07075,5/30/2022,F026,BATCH_4185,TECH_06,Windy,WP_3944,Morning,5.483,5.4844,135.39,4.9082,29.81,0.155,5,0.089,57.75,C
LAT_07076,4/22/2023,F009,BATCH_9002,TECH_04,Windy,WP_5202,Afternoon,5.337,5.3386,136.79,4.9184,29.55,0.132,5,0.093,57.09,C
LAT_07077,8/28/2023,F012,BATCH_4750,TECH_04,Windy,WP_3414,Morning,6.644,6.6406,58.54,4.0697,27.41,0.229,3,0.037,60.41,A
LAT_07078,8/3/2024,F007,BATCH_2722,TECH_03,Cloudy,WP_3994,Afternoon,6.21,6.2076,85.25,4.4456,29.54,0.177,4,0.059,57.44,B
LAT_07079,2/5/2024,F014,BATCH_3691,TECH_07,Cloudy,WP_3052,Morning,5.896,5.8962,107.08,4.6736,32.06,0.181,4,0.073,59.81,B
LAT_07080,4/22/2026,F002,BATCH_5599,TECH_03,Windy,WP_6445,Morning,6.487,6.4849,,,28.39,0.21,3,0.038,58.92,A
LAT_07081,4/14/2022,F026,BATCH_7136,TECH_04,Sunny,WP_4178,Morning,6.555,6.5513,60.86,4.1086,29.57,0.224,2,0.039,60.17,A
LAT_07082,4/4/2023,F025,BATCH_3498,TECH_03,Sunny,WP_3023,Morning,6.268,6.2703,85.72,4.4511,29.79,0.189,3,0.051,56.21,B
LAT_07083,4/18/2025,F016,BATCH_3413,TECH_03,Cloudy,WP_9673,Morning,6.958,6.9588,42.67,3.7535,30.67,0.251,2,0.024,58.66,A
LAT_07084,2/10/2026,F029,BATCH_9070,TECH_01,Windy,WP_4352,Morning,5.951,5.9533,110.55,4.7055,29.82,0.154,4,0.074,56.63,B
LAT_07085,6/4/2023,F029,BATCH_7049,TECH_05,Cloudy,WP_8845,Afternoon,5.413,5.4117,141.43,4.9518,30.16,0.148,5,0.096,58.49,C
LAT_07086,6/2/2024,F009,BATCH_2962,TECH_02,Cloudy,WP_2448,Morning,6.569,6.5703,56.29,4.0305,31.62,0.23,2,0.034,58.21,A
LAT_07087,11/17/2022,F009,BATCH_1352,TECH_07,Windy,WP_1314,Morning,5.828,5.8272,111.03,4.7098,28.07,,4,0.074,56.08,B
LAT_07088,5/19/2023,F012,BATCH_4211,TECH_06,Rainy,WP_4139,Morning,5.879,5.8805,99.46,4.5998,28.77,0.202,4,0.067,56.65,B
LAT_07089,9/19/2022,F012,BATCH_1420,TECH_03,Cloudy,WP_9300,Morning,5.757,5.7564,113.84,4.7348,31.04,0.181,5,0.076,58.55,B
LAT_07090,1/15/2024,F002,BATCH_2660,TECH_03,Windy,WP_2645,Morning,6.549,6.5462,60.74,4.1066,27.45,0.242,2,0.037,58.47,A
LAT_07091,11/4/2023,F026,BATCH_7143,TECH_03,Sunny,WP_7810,Morning,6.727,6.7264,45.13,3.8095,30.91,0.227,2,0.028,58.38,A
LAT_07092,9/2/2022,F014,BATCH_3876,TECH_06,Sunny,WP_6327,Morning,6.737,6.7415,48.66,3.8849,27.78,0.236,3,0.031,58.85,A
LAT_07093,4/4/2022,F002,BATCH_5415,TECH_01,Windy,WP_4728,Morning,6.84,6.8412,40.49,3.7011,30.1,0.258,2,0.023,58.86,A
LAT_07094,2/3/2022,F017,BATCH_5862,TECH_05,Windy,WP_9088,Morning,6.451,6.4511,70.97,4.2623,29.62,0.22,3,0.046,58.86,A
LAT_07095,11/1/2023,F023,BATCH_2559,TECH_04,Sunny,WP_7319,Morning,6.811,6.8067,33.9,3.5234,30.97,0.251,2,0.022,59.07,A
LAT_07096,3/16/2024,F004,BATCH_5829,TECH_01,Sunny,WP_2015,Afternoon,6.567,6.5689,61.86,4.1249,29.8,0.212,3,0.036,60.45,A
LAT_07097,7/21/2023,F022,BATCH_8432,TECH_05,Rainy,WP_5876,Morning,6.73,6.7283,37.87,3.6342,29.23,0.246,2,0.026,58.28,A
LAT_07098,1/11/2023,F007,BATCH_6684,TECH_07,Windy,WP_8751,Morning,6.48,6.48,51.38,3.9392,29.86,0.212,3,0.032,58.76,A
LAT_07099,5/12/2025,F006,BATCH_2747,TECH_04,Rainy,WP_7612,Morning,6.003,6.0049,104.88,4.6528,28.57,0.167,3,0.065,59.6,B
LAT_07100,2/16/2025,F016,BATCH_5702,TECH_03,Rainy,WP_1966,Morning,6.358,6.3572,68.02,4.2198,31.82,0.212,3,0.043,59.03,A
LAT_07101,12/18/2023,F016,BATCH_7928,TECH_05,Cloudy,WP_6194,Morning,5.948,5.9467,103.71,4.6416,29.58,0.165,4,0.07,57,B
LAT_07102,5/15/2025,F004,BATCH_9701,TECH_06,Sunny,WP_4099,Morning,5.978,5.9767,104.66,4.6507,30.86,0.183,4,0.066,58.82,B
LAT_07103,12/9/2022,F028,BATCH_3896,TECH_07,Cloudy,WP_4158,Morning,6.315,6.3183,81.83,4.4046,28.57,0.219,3,0.052,59.63,B
LAT_07104,5/2/2022,F013,BATCH_6918,TECH_05,Cloudy,WP_6035,Morning,6.597,6.5948,54.12,3.9912,31.46,0.23,2,0.03,59.43,A
LAT_07105,7/8/2023,F019,BATCH_9257,TECH_01,Rainy,WP_8226,Afternoon,5.903,5.9006,103.45,4.6391,30.33,0.17,4,0.07,56.77,B
LAT_07106,2/20/2023,F008,BATCH_8203,TECH_02,Cloudy,WP_9005,Morning,5.473,5.4725,135.83,4.9114,29.36,0.143,5,0.093,56.25,C
LAT_07107,3/17/2023,F007,BATCH_1184,TECH_07,Sunny,WP_6787,Morning,5.889,5.8913,107.26,4.6753,31.6,0.156,4,0.07,56.82,B
LAT_07108,5/29/2022,F025,BATCH_5076,TECH_04,Cloudy,WP_3829,Morning,5.914,5.9088,106.7,4.67,32.19,0.172,4,0.07,59,B
LAT_07109,2/17/2022,F029,BATCH_4129,TECH_07,Windy,WP_7707,Morning,5.462,5.461,139.8,4.9402,30.71,0.131,5,0.093,58.9,C
LAT_07110,4/20/2025,F007,BATCH_1899,TECH_03,Cloudy,WP_8514,Afternoon,6.482,6.4794,68.43,4.2258,29.12,0.217,3,0.046,58.97,A
LAT_07111,11/28/2022,F030,BATCH_7724,TECH_07,Sunny,WP_6817,Morning,5.556,5.5569,126.51,4.8403,32.28,0.152,5,0.086,55.07,C
LAT_07112,4/23/2022,F003,BATCH_5668,TECH_06,Cloudy,WP_3540,Morning,5.517,5.5143,121.9,4.8032,31.03,0.148,5,0.083,57.7,C
LAT_07113,1/6/2024,F024,BATCH_1989,TECH_07,Rainy,WP_4459,Morning,6.248,6.2483,81.7,4.4031,30.41,0.205,4,0.053,60.4,B
LAT_07114,6/17/2024,F005,BATCH_2868,TECH_03,Windy,WP_5892,Morning,6.182,6.1797,91.47,4.516,30.74,0.193,4,0.059,56.77,B
LAT_07115,8/23/2022,F001,BATCH_3877,TECH_01,Rainy,WP_6718,Morning,5.455,5.4575,141.04,4.949,32.62,0.164,5,0.095,56.84,C
LAT_07116,10/10/2022,F026,BATCH_8642,TECH_01,Rainy,WP_1422,Afternoon,5.534,5.5337,132.81,4.8889,29.18,0.136,5,0.09,58.68,C
LAT_07117,3/25/2025,F021,BATCH_6914,TECH_02,Cloudy,WP_9824,Morning,5.424,5.4254,145.18,4.978,31.21,0.132,5,0.096,55.23,C
LAT_07118,6/30/2023,F022,BATCH_8696,TECH_06,Sunny,WP_5442,Morning,6.366,6.3644,68.39,4.2252,28.83,0.208,3,0.045,59.15,A
LAT_07119,5/13/2024,F003,BATCH_1881,TECH_04,Windy,WP_6520,Afternoon,5.415,5.4119,,,30.05,0.123,5,0.094,57.05,C
LAT_07120,11/11/2022,F020,BATCH_3577,TECH_01,Sunny,WP_1717,Morning,6.71,6.7064,36.17,3.5882,31.2,0.247,2,0.022,58.92,A
LAT_07121,11/9/2022,F021,BATCH_4578,TECH_02,Sunny,WP_8276,Morning,5.999,5.9963,95.41,4.5582,30.47,0.186,4,0.068,58.65,B
LAT_07122,1/3/2023,F024,BATCH_2121,TECH_03,Cloudy,WP_5767,Morning,5.501,5.4972,137.21,4.9215,27.81,0.153,5,0.087,58.11,C
